Day,Start,End,Task
Monday,08:50,08:55,UMA011 - Numerical Analysis (F203)
Monday,08:55,09:00,UMA011 - Numerical Analysis (F203)
Monday,09:00,09:05,UMA011 - Numerical Analysis (F203)
Monday,09:05,09:10,UMA011 - Numerical Analysis (F203)
Monday,09:10,09:15,UMA011 - Numerical Analysis (F203)
Monday,09:15,09:20,UMA011 - Numerical Analysis (F203)
Monday,09:20,09:25,UMA011 - Numerical Analysis (F203)
Monday,09:25,09:30,UMA011 - Numerical Analysis (F203)
Monday,09:30,09:35,UMA011 - Numerical Analysis (F203)
Monday,09:35,09:40,UMA011 - Numerical Analysis (F203)
Monday,09:40,09:45,"URA402 - Robotics, Sensors and Actuators (F203)"
Monday,09:45,09:50,"URA402 - Robotics, Sensors and Actuators (F203)"
Monday,09:50,09:55,"URA402 - Robotics, Sensors and Actuators (F203)"
Monday,09:55,10:00,"URA402 - Robotics, Sensors and Actuators (F203)"
Monday,10:00,10:05,"URA402 - Robotics, Sensors and Actuators (F203)"
Monday,10:05,10:10,"URA402 - Robotics, Sensors and Actuators (F203)"
Monday,10:10,10:15,"URA402 - Robotics, Sensors and Actuators (F203)"
Monday,10:15,10:20,"URA402 - Robotics, Sensors and Actuators (F203)"
Monday,10:20,10:25,"URA402 - Robotics, Sensors and Actuators (F203)"
Monday,10:25,10:30,"URA402 - Robotics, Sensors and Actuators (F203)"
Monday,10:30,10:35,UCS411 - Artificial Intelligence (F203)
Monday,10:35,10:40,UCS411 - Artificial Intelligence (F203)
Monday,10:40,10:45,UCS411 - Artificial Intelligence (F203)
Monday,10:45,10:50,UCS411 - Artificial Intelligence (F203)
Monday,10:50,10:55,UCS411 - Artificial Intelligence (F203)
Monday,10:55,11:00,UCS411 - Artificial Intelligence (F203)
Monday,11:00,11:05,UCS411 - Artificial Intelligence (F203)
Monday,11:05,11:10,UCS411 - Artificial Intelligence (F203)
Monday,11:10,11:15,UCS411 - Artificial Intelligence (F203)
Monday,11:15,11:20,UCS411 - Artificial Intelligence (F203)
Monday,11:20,11:25,UME405 - CAD & Analysis (F203)
Monday,11:25,11:30,UME405 - CAD & Analysis (F203)
Monday,11:30,11:35,UME405 - CAD & Analysis (F203)
Monday,11:35,11:40,UME405 - CAD & Analysis (F203)
Monday,11:40,11:45,UME405 - CAD & Analysis (F203)
Monday,11:45,11:50,UME405 - CAD & Analysis (F203)
Monday,11:50,11:55,UME405 - CAD & Analysis (F203)
Monday,11:55,12:00,UME405 - CAD & Analysis (F203)
Monday,12:00,12:05,UME405 - CAD & Analysis (F203)
Monday,12:05,12:10,UME405 - CAD & Analysis (F203)
Tuesday,08:50,08:55,URA401 - Data Science (F203)
Tuesday,08:55,09:00,URA401 - Data Science (F203)
Tuesday,09:00,09:05,URA401 - Data Science (F203)
Tuesday,09:05,09:10,URA401 - Data Science (F203)
Tuesday,09:10,09:15,URA401 - Data Science (F203)
Tuesday,09:15,09:20,URA401 - Data Science (F203)
Tuesday,09:20,09:25,URA401 - Data Science (F203)
Tuesday,09:25,09:30,URA401 - Data Science (F203)
Tuesday,09:30,09:35,URA401 - Data Science (F203)
Tuesday,09:35,09:40,URA401 - Data Science (F203)
Tuesday,09:40,09:45,UCS411 - Artificial Intelligence (F203)
Tuesday,09:45,09:50,UCS411 - Artificial Intelligence (F203)
Tuesday,09:50,09:55,UCS411 - Artificial Intelligence (F203)
Tuesday,09:55,10:00,UCS411 - Artificial Intelligence (F203)
Tuesday,10:00,10:05,UCS411 - Artificial Intelligence (F203)
Tuesday,10:05,10:10,UCS411 - Artificial Intelligence (F203)
Tuesday,10:10,10:15,UCS411 - Artificial Intelligence (F203)
Tuesday,10:15,10:20,UCS411 - Artificial Intelligence (F203)
Tuesday,10:20,10:25,UCS411 - Artificial Intelligence (F203)
Tuesday,10:25,10:30,UCS411 - Artificial Intelligence (F203)
Tuesday,10:30,10:35,URA401 - Data Science (F309)
Tuesday,10:35,10:40,URA401 - Data Science (F309)
Tuesday,10:40,10:45,URA401 - Data Science (F309)
Tuesday,10:45,10:50,URA401 - Data Science (F309)
Tuesday,10:50,10:55,URA401 - Data Science (F309)
Tuesday,10:55,11:00,URA401 - Data Science (F309)
Tuesday,11:00,11:05,URA401 - Data Science (F309)
Tuesday,11:05,11:10,URA401 - Data Science (F309)
Tuesday,11:10,11:15,URA401 - Data Science (F309)
Tuesday,11:15,11:20,URA401 - Data Science (F309)
Tuesday,11:20,11:25,UCS546 - Conversational AI (F203)
Tuesday,11:25,11:30,UCS546 - Conversational AI (F203)
Tuesday,11:30,11:35,UCS546 - Conversational AI (F203)
Tuesday,11:35,11:40,UCS546 - Conversational AI (F203)
Tuesday,11:40,11:45,UCS546 - Conversational AI (F203)
Tuesday,11:45,11:50,UCS546 - Conversational AI (F203)
Tuesday,11:50,11:55,UCS546 - Conversational AI (F203)
Tuesday,11:55,12:00,UCS546 - Conversational AI (F203)
Tuesday,12:00,12:05,UCS546 - Conversational AI (F203)
Tuesday,12:05,12:10,UCS546 - Conversational AI (F203)
Tuesday,12:10,12:15,UME518 - Introduction to Robotics (F304)
Tuesday,12:15,12:20,UME518 - Introduction to Robotics (F304)
Tuesday,12:20,12:25,UME518 - Introduction to Robotics (F304)
Tuesday,12:25,12:30,UME518 - Introduction to Robotics (F304)
Tuesday,12:30,12:35,UME518 - Introduction to Robotics (F304)
Tuesday,12:35,12:40,UME518 - Introduction to Robotics (F304)
Tuesday,12:40,12:45,UME518 - Introduction to Robotics (F304)
Tuesday,12:45,12:50,UME518 - Introduction to Robotics (F304)
Tuesday,12:50,12:55,UME518 - Introduction to Robotics (F304)
Tuesday,12:55,13:00,UME518 - Introduction to Robotics (F304)
Tuesday,13:50,13:55,UME405 - CAD & Analysis (F209)
Tuesday,13:55,14:00,UME405 - CAD & Analysis (F209)
Tuesday,14:00,14:05,UME405 - CAD & Analysis (F209)
Tuesday,14:05,14:10,UME405 - CAD & Analysis (F209)
Tuesday,14:10,14:15,UME405 - CAD & Analysis (F209)
Tuesday,14:15,14:20,UME405 - CAD & Analysis (F209)
Tuesday,14:20,14:25,UME405 - CAD & Analysis (F209)
Tuesday,14:25,14:30,UME405 - CAD & Analysis (F209)
Tuesday,14:30,14:35,UME405 - CAD & Analysis (F209)
Tuesday,14:35,14:40,UME405 - CAD & Analysis (F209)
Tuesday,14:40,14:45,UME405 - CAD & Analysis (F209)
Tuesday,14:45,14:50,UME405 - CAD & Analysis (F209)
