Day,Start,End,Task
Monday,08:50,09:00,UMA011 - Numerical Analysis (F203)
Monday,09:00,09:10,UMA011 - Numerical Analysis (F203)
Monday,09:10,09:20,UMA011 - Numerical Analysis (F203)
Monday,09:20,09:30,UMA011 - Numerical Analysis (F203)
Monday,09:30,09:40,UMA011 - Numerical Analysis (F203)
Monday,09:40,09:50,"URA402 - Robotics, Sensors and Actuators (F203)"
Monday,09:50,10:00,"URA402 - Robotics, Sensors and Actuators (F203)"
Monday,10:00,10:10,"URA402 - Robotics, Sensors and Actuators (F203)"
Monday,10:10,10:20,"URA402 - Robotics, Sensors and Actuators (F203)"
Monday,10:20,10:30,"URA402 - Robotics, Sensors and Actuators (F203)"
Monday,10:30,10:40,UCS411 - Artificial Intelligence (F203)
Monday,10:40,10:50,UCS411 - Artificial Intelligence (F203)
Monday,10:50,11:00,UCS411 - Artificial Intelligence (F203)
Monday,11:00,11:10,UCS411 - Artificial Intelligence (F203)
Monday,11:10,11:20,UCS411 - Artificial Intelligence (F203)
Monday,11:20,11:30,UME405 - CAD & Analysis (F203)
Monday,11:30,11:40,UME405 - CAD & Analysis (F203)
Monday,11:40,11:50,UME405 - CAD & Analysis (F203)
Monday,11:50,12:00,UME405 - CAD & Analysis (F203)
Monday,12:00,12:10,UME405 - CAD & Analysis (F203)
Tuesday,08:50,09:00,URA401 - Data Science (F203)
Tuesday,09:00,09:10,URA401 - Data Science (F203)
Tuesday,09:10,09:20,URA401 - Data Science (F203)
Tuesday,09:20,09:30,URA401 - Data Science (F203)
Tuesday,09:30,09:40,URA401 - Data Science (F203)
Tuesday,09:40,09:50,UCS411 - Artificial Intelligence (F203)
Tuesday,09:50,10:00,UCS411 - Artificial Intelligence (F203)
Tuesday,10:00,10:10,UCS411 - Artificial Intelligence (F203)
Tuesday,10:10,10:20,UCS411 - Artificial Intelligence (F203)
Tuesday,10:20,10:30,UCS411 - Artificial Intelligence (F203)
Tuesday,10:30,10:40,URA401 - Data Science (F309)
Tuesday,10:40,10:50,URA401 - Data Science (F309)
Tuesday,10:50,11:00,URA401 - Data Science (F309)
Tuesday,11:00,11:10,URA401 - Data Science (F309)
Tuesday,11:10,11:20,URA401 - Data Science (F309)
Tuesday,11:20,11:30,UCS546 - Conversational AI (F203)
Tuesday,11:30,11:40,UCS546 - Conversational AI (F203)
Tuesday,11:40,11:50,UCS546 - Conversational AI (F203)
Tuesday,11:50,12:00,UCS546 - Conversational AI (F203)
Tuesday,12:00,12:10,UCS546 - Conversational AI (F203)
Tuesday,12:10,12:20,UME518 - Introduction to Robotics (F304)
Tuesday,12:20,12:30,UME518 - Introduction to Robotics (F304)
Tuesday,12:30,12:40,UME518 - Introduction to Robotics (F304)
Tuesday,12:40,12:50,UME518 - Introduction to Robotics (F304)
Tuesday,12:50,13:00,UME518 - Introduction to Robotics (F304)
Tuesday,13:50,14:00,UME405 - CAD & Analysis (F209)
Tuesday,14:00,14:10,UME405 - CAD & Analysis (F209)
Tuesday,14:10,14:20,UME405 - CAD & Analysis (F209)
Tuesday,14:20,14:30,UME405 - CAD & Analysis (F209)
Tuesday,14:30,14:40,UME405 - CAD & Analysis (F209)
Tuesday,14:40,14:50,UME405 - CAD & Analysis (F209)
Tuesday,14:50,15:00,UME405 - CAD & Analysis (F209)
Tuesday,15:00,15:10,UME405 - CAD & Analysis (F209)
Tuesday,15:10,15:20,UME405 - CAD & Analysis (F209)
Tuesday,15:20,15:30,UME405 - CAD & Analysis (F209)
Tuesday,15:30,15:40,UMA011 - Numerical Analysis (F203)
Tuesday,15:40,15:50,UMA011 - Numerical Analysis (F203)
Tuesday,15:50,16:00,UMA011 - Numerical Analysis (F203)
Tuesday,16:00,16:10,UMA011 - Numerical Analysis (F203)
Tuesday,16:10,16:20,UMA011 - Numerical Analysis (F203)
Wednesday,08:00,08:10,UCS411 - Artificial Intelligence (F203)
Wednesday,08:10,08:20,UCS411 - Artificial Intelligence (F203)
Wednesday,08:20,08:30,UCS411 - Artificial Intelligence (F203)
Wednesday,08:30,08:40,UCS411 - Artificial Intelligence (F203)
Wednesday,08:40,08:50,UCS411 - Artificial Intelligence (F203)
Wednesday,08:50,09:00,UME405 - CAD & Analysis (F203)
Wednesday,09:00,09:10,UME405 - CAD & Analysis (F203)
Wednesday,09:10,09:20,UME405 - CAD & Analysis (F203)
Wednesday,09:20,09:30,UME405 - CAD & Analysis (F203)
Wednesday,09:30,09:40,UME405 - CAD & Analysis (F203)
Wednesday,09:40,09:50,UCS411 - Artificial Intelligence (DT LAB)
Wednesday,09:50,10:00,UCS411 - Artificial Intelligence (DT LAB)
Wednesday,10:00,10:10,UCS411 - Artificial Intelligence (DT LAB)
Wednesday,10:10,10:20,UCS411 - Artificial Intelligence (DT LAB)
Wednesday,10:20,10:30,UCS411 - Artificial Intelligence (DT LAB)
Wednesday,10:30,10:40,UCS411 - Artificial Intelligence (DT LAB)
Wednesday,10:40,10:50,UCS411 - Artificial Intelligence (DT LAB)
Wednesday,10:50,11:00,UCS411 - Artificial Intelligence (DT LAB)
Wednesday,11:00,11:10,UCS411 - Artificial Intelligence (DT LAB)
Wednesday,11:10,11:20,UCS411 - Artificial Intelligence (DT LAB)
Wednesday,11:20,11:30,UME518 - Introduction to Robotics (F203)
Wednesday,11:30,11:40,UME518 - Introduction to Robotics (F203)
Wednesday,11:40,11:50,UME518 - Introduction to Robotics (F203)
Wednesday,11:50,12:00,UME518 - Introduction to Robotics (F203)
Wednesday,12:00,12:10,UME518 - Introduction to Robotics (F203)
Wednesday,12:10,12:20,UCS546 - Conversational AI (F203)
Wednesday,12:20,12:30,UCS546 - Conversational AI (F203)
Wednesday,12:30,12:40,UCS546 - Conversational AI (F203)
Wednesday,12:40,12:50,UCS546 - Conversational AI (F203)
Wednesday,12:50,13:00,UCS546 - Conversational AI (F203)
Wednesday,13:50,14:00,UMA011 - Numerical Analysis (PG LAB)
Wednesday,14:00,14:10,UMA011 - Numerical Analysis (PG LAB)
Wednesday,14:10,14:20,UMA011 - Numerical Analysis (PG LAB)
Wednesday,14:20,14:30,UMA011 - Numerical Analysis (PG LAB)
Wednesday,14:30,14:40,UMA011 - Numerical Analysis (PG LAB)
Thursday,08:00,08:10,UCS546 - Conversational AI (ES-1 LAB)
Thursday,08:10,08:20,UCS546 - Conversational AI (ES-1 LAB)
Thursday,08:20,08:30,UCS546 - Conversational AI (ES-1 LAB)
Thursday,08:30,08:40,UCS546 - Conversational AI (ES-1 LAB)
Thursday,08:40,08:50,UCS546 - Conversational AI (ES-1 LAB)
Thursday,08:50,09:00,UCS546 - Conversational AI (ES-1 LAB)
Thursday,09:00,09:10,UCS546 - Conversational AI (ES-1 LAB)
Thursday,09:10,09:20,UCS546 - Conversational AI (ES-1 LAB)
Thursday,09:20,09:30,UCS546 - Conversational AI (ES-1 LAB)
Thursday,09:30,09:40,UCS546 - Conversational AI (ES-1 LAB)
Thursday,09:40,09:50,UHU050 - Evolutionary Psychology (LT101)
Thursday,09:50,10:00,UHU050 - Evolutionary Psychology (LT101)
Thursday,10:00,10:10,UHU050 - Evolutionary Psychology (LT101)
Thursday,10:10,10:20,UHU050 - Evolutionary Psychology (LT101)
Thursday,10:20,10:30,UHU050 - Evolutionary Psychology (LT101)
Thursday,10:30,10:40,UME518 - Introduction to Robotics (F203)
Thursday,10:40,10:50,UME518 - Introduction to Robotics (F203)
Thursday,10:50,11:00,UME518 - Introduction to Robotics (F203)
Thursday,11:00,11:10,UME518 - Introduction to Robotics (F203)
Thursday,11:10,11:20,UME518 - Introduction to Robotics (F203)
Thursday,11:20,11:30,URA401 - Data Science (F202)
Thursday,11:30,11:40,URA401 - Data Science (F202)
Thursday,11:40,11:50,URA401 - Data Science (F202)
Thursday,11:50,12:00,URA401 - Data Science (F202)
Thursday,12:00,12:10,URA401 - Data Science (F202)
Thursday,13:50,14:00,URA401 - Data Science (CAM LAB)
Thursday,14:00,14:10,URA401 - Data Science (CAM LAB)
Thursday,14:10,14:20,URA401 - Data Science (CAM LAB)
Thursday,14:20,14:30,URA401 - Data Science (CAM LAB)
Thursday,14:30,14:40,URA401 - Data Science (CAM LAB)
Thursday,14:40,14:50,URA401 - Data Science (CAM LAB)
Thursday,14:50,15:00,URA401 - Data Science (CAM LAB)
Thursday,15:00,15:10,URA401 - Data Science (CAM LAB)
Thursday,15:10,15:20,URA401 - Data Science (CAM LAB)
Thursday,15:20,15:30,URA401 - Data Science (CAM LAB)
Thursday,15:30,15:40,UME518 - Introduction to Robotics (ROBOTICS LAB)
Thursday,15:40,15:50,UME518 - Introduction to Robotics (ROBOTICS LAB)
Thursday,15:50,16:00,UME518 - Introduction to Robotics (ROBOTICS LAB)
Thursday,16:00,16:10,UME518 - Introduction to Robotics (ROBOTICS LAB)
Thursday,16:10,16:20,UME518 - Introduction to Robotics (ROBOTICS LAB)
Thursday,16:20,16:30,UME518 - Introduction to Robotics (ROBOTICS LAB)
Thursday,16:30,16:40,UME518 - Introduction to Robotics (ROBOTICS LAB)
Thursday,16:40,16:50,UME518 - Introduction to Robotics (ROBOTICS LAB)
Thursday,16:50,17:00,UME518 - Introduction to Robotics (ROBOTICS LAB)
Thursday,17:00,17:10,UME518 - Introduction to Robotics (ROBOTICS LAB)
Friday,08:00,08:10,"URA402 - Robotics, Sensors and Actuators (F203)"
Friday,08:10,08:20,"URA402 - Robotics, Sensors and Actuators (F203)"
Friday,08:20,08:30,"URA402 - Robotics, Sensors and Actuators (F203)"
Friday,08:30,08:40,"URA402 - Robotics, Sensors and Actuators (F203)"
Friday,08:40,08:50,"URA402 - Robotics, Sensors and Actuators (F203)"
Friday,09:40,09:50,UME405 - CAD & Analysis (CAM LAB)
Friday,09:50,10:00,UME405 - CAD & Analysis (CAM LAB)
Friday,10:00,10:10,UME405 - CAD & Analysis (CAM LAB)
Friday,10:10,10:20,UME405 - CAD & Analysis (CAM LAB)
Friday,10:20,10:30,UME405 - CAD & Analysis (CAM LAB)
Friday,10:30,10:40,UME405 - CAD & Analysis (CAM LAB)
Friday,10:40,10:50,UME405 - CAD & Analysis (CAM LAB)
Friday,10:50,11:00,UME405 - CAD & Analysis (CAM LAB)
Friday,11:00,11:10,UME405 - CAD & Analysis (CAM LAB)
Friday,11:10,11:20,UME405 - CAD & Analysis (CAM LAB)
Friday,11:20,11:30,UMA011 - Numerical Analysis (F203)
Friday,11:30,11:40,UMA011 - Numerical Analysis (F203)
Friday,11:40,11:50,UMA011 - Numerical Analysis (F203)
Friday,11:50,12:00,UMA011 - Numerical Analysis (F203)
Friday,12:00,12:10,UMA011 - Numerical Analysis (F203)
Friday,12:10,12:20,UME405 - CAD & Analysis (F203)
Friday,12:20,12:30,UME405 - CAD & Analysis (F203)
Friday,12:30,12:40,UME405 - CAD & Analysis (F203)
Friday,12:40,12:50,UME405 - CAD & Analysis (F203)
Friday,12:50,13:00,UME405 - CAD & Analysis (F203)
Friday,13:50,14:00,"URA402 - Robotics, Sensors and Actuators (ISD LAB)"
Friday,14:00,14:10,"URA402 - Robotics, Sensors and Actuators (ISD LAB)"
Friday,14:10,14:20,"URA402 - Robotics, Sensors and Actuators (ISD LAB)"
Friday,14:20,14:30,"URA402 - Robotics, Sensors and Actuators (ISD LAB)"
Friday,14:30,14:40,"URA402 - Robotics, Sensors and Actuators (ISD LAB)"
Friday,14:40,14:50,"URA402 - Robotics, Sensors and Actuators (ISD LAB)"
Friday,14:50,15:00,"URA402 - Robotics, Sensors and Actuators (ISD LAB)"
Friday,15:00,15:10,"URA402 - Robotics, Sensors and Actuators (ISD LAB)"
Friday,15:10,15:20,"URA402 - Robotics, Sensors and Actuators (ISD LAB)"
Friday,15:20,15:30,"URA402 - Robotics, Sensors and Actuators (ISD LAB)"
