Day,Start,End,Task
Monday,07:00,07:30,Breakfast
Monday,13:15,13:30,Lunch
Monday,20:30,20:45,Dinner
Tuesday,07:00,07:30,Breakfast
Tuesday,13:15,13:30,Lunch
Tuesday,20:30,20:45,Dinner
Wednesday,07:00,07:30,Breakfast
Wednesday,13:15,13:30,Lunch
Wednesday,20:30,20:45,Dinner
Thursday,07:00,07:30,Breakfast
Thursday,13:15,13:30,Lunch
Thursday,20:30,20:45,Dinner
Friday,07:00,07:30,Breakfast
Friday,13:15,13:30,Lunch
Friday,20:30,20:45,Dinner
Saturday,07:00,07:30,Breakfast
Saturday,13:15,13:30,Lunch
Saturday,20:30,20:45,Dinner
Sunday,07:00,07:30,Breakfast
Sunday,13:15,13:30,Lunch
Sunday,20:30,20:45,Dinner
